Lemma,POS,# Occurrences
悩む,Verb,18
有名,な-Adjective,18
状態,Noun,18
いや,Interjection,18
店員,Noun,18
元々,Adverb,18
喋る,Verb,18
注意,Noun,18
大好き,な-Adjective,18
突き込む,Verb,18
死,Noun,18
明るい,い-Adjective,18
勝つ,Verb,18
ユキ,Noun,18
予報,Noun,18
重要,な-Adjective,18
想像,Noun,18
参加,Noun,18
プレゼント-present,Noun,18
正解,Noun,18
潰す,Verb,18
抜ける,Verb,18
張り切る,Verb,18
すっきり,Adverb,18
目的,Noun,18
ファン-fan（熱狂者）,Noun,18
届く,Verb,18
無くす,Verb,18
パーティー-party,Noun,18
報告,Noun,18
マツナガ,Noun,18
大学,Noun,18
溜め息,Noun,18
吹奏,Noun,18
挨拶,Noun,17
びっくり,Noun,17
夜中,Noun,17
立派,な-Adjective,17
怪我,Noun,17
ココ-coco,Noun,17
やれ,Interjection,17
阿呆,Noun,17
一方,Noun,17
押す,Verb,17
サービス-service,Noun,17
際,Noun,17
十分,な-Adjective,17
走る,Verb,17
違い,Noun,17
気配,Noun,17
加減,Noun,17
調子,Noun,17
えへ,Interjection,17
暴走,Noun,17
殺し,Noun,17
有り,Noun,17
価値,Noun,17
喧嘩,Noun,17
予定,Noun,17
諦める,Verb,17
返す,Verb,17
誕生,Noun,17
完全,な-Adjective,17
世知,Noun,17
試験,Noun,17
期末,Noun,17
夏休み,Noun,17
教科,Noun,17
自信,Noun,17
喫茶,Noun,17
ずつ,Particle,17
気合い,Noun,17
学生,Noun,16
具合,Noun,16
世話,Noun,16
さっさと,Adverb,16
教室,Noun,16
仲良く,Adverb,16
流れ,Noun,16
うざい,い-Adjective,16
聴取,Noun,16
広い,い-Adjective,16
落とす,Verb,16
騒ぎ,Noun,16
他人,Noun,16
証明,Noun,16
させる,Auxiliary Verb,16
選択,Noun,16
無くなる,Verb,16
無駄,Noun,16
ク,Code,16
サボる,Verb,16
空っぽ,Noun,16
愈,Adverb,16
以前,Noun,16
御早う,Interjection,16
ほっ,Interjection,16
真似,Noun,16
微妙,な-Adjective,16
オーケー-okay,Noun,16
感,Noun,16
餡,Noun,16
楽しむ,Verb,16
熱い,い-Adjective,16
報道,Noun,16
丸,Suffix,16
挑戦,Noun,16
がっかり,Adverb,16
教師,Noun,16
御飯,Noun,16
オウ,Noun,16
テン-ten,Noun,16
ボール-ball,Noun,16
満足,Noun,16
妹,Noun,16
マネージャー-manager,Noun,16
怪盗,Noun,16
死神,Noun,16
びびる,Verb,15
飲む,Verb,15
組,Noun,15
落ちる,Verb,15
泊まる,Verb,15
事故,Noun,15
自慢,Noun,15
温泉,Noun,15
難い,Suffix,15
正面,Noun,15
気味,Noun,15
濃い,い-Adjective,15
署,Suffix,15
親父,Noun,15
割と,Adverb,15
試す,Verb,15
不審,Noun,15
更に,Adverb,15
大した,Adnominal,15
その,Interjection,15
我慢,Noun,15
経つ,Verb,15
暴れる,Verb,15
継ぐ,Verb,15
事実,Noun,15
納得,Noun,15
眠る,Verb,15
基地,Noun,15
寧ろ,Adverb,15
改めて,Adverb,15
集合,Noun,15
誤解,Noun,15
売る,Verb,15
冷たい,い-Adjective,15
流れる,Verb,15
羨ましい,い-Adjective,15
助け,Noun,15
なり-断定,Auxiliary Verb,15
運ぶ,Verb,15
殴る,Verb,15
テント-tent,Noun,15
指,Noun,15
カレー-curry,Noun,15
開ける,Verb,15
芸能,Noun,15
罪,Suffix,15
否定,Noun,15
寝かせる,Verb,15
集,Suffix,15
どうぞ,Adverb,15
祭り,Noun,15
箱,Noun,15
ほほほ,Interjection,15
祖父,Noun,15
八高,Noun,15
イザナミ,Noun,15
見送る,Verb,15
努力,Noun,15
素直,な-Adjective,15
賽銭,Noun,15
機嫌,Noun,14
緊張,Noun,14
間違う,Verb,14
さえ,Particle,14
出会う,Verb,14
可成,Adverb,14
つい,Adverb,14
安い,い-Adjective,14
どんどん,Adverb,14
酒屋,Noun,14
珍しい,い-Adjective,14
騒がしい,い-Adjective,14
何者,Noun,14
近所,Noun,14
どころ,Particle,14
知恵,Noun,14
追い掛ける,Verb,14
希望,Noun,14
吐く,Verb,14
晩,Noun,14
自体,Noun,14
逮捕,Noun,14
直す,Verb,14
立てる,Verb,14
あん,Interjection,14
四,Noun,14
ごまかす,Verb,14
下りる,Verb,14
見守る,Verb,14
集める,Verb,14
思い出,Noun,14
支える,Verb,14
下手,Noun,14
動き,Noun,14
考え込む,Verb,14
文,Noun,14
コンテスト-contest,Noun,14
書,Suffix,14
後悔,Noun,14
オザワ,Noun,14
脅迫,Noun,14
家庭,Noun,14
．,Noun,14
絵馬,Noun,14
ほう,Interjection,13
序で,Noun,13
体育,Noun,13
取材,Noun,13
考え,Noun,13
生活,Noun,13
悪戯,Noun,13
席,Noun,13
繰り返す,Verb,13
去年,Noun,13
寄る,Verb,13
歳,Suffix,13
礼,Noun,13
半年,Noun,13
音,Noun,13
ぼんやり,Adverb,13
個,Suffix,13
ウオ,Noun,13
え,Particle,13
冷静,Noun,13
旦那,Noun,13
実家,Noun,13
ラーメン-Rahmen,Noun,13
切れる,Verb,13
漸く,Adverb,13
犯,Suffix,13
メール-mail,Noun,13
コーヒー-coffee,Noun,13
受け取る,Verb,13
熟す,Verb,13
倒す,Verb,13
戦い,Noun,13
初め,Noun,13
褒める,Verb,13
偶々,Adverb,13
手口,Noun,13
共通,Noun,13
以降,Noun,13
ぎゃあ,Interjection,13
線,Noun,13
内緒,Noun,13
意地,Noun,13
ブ,Code,13
審査,Noun,13
枚,Suffix,13
好意,Noun,13
抜く,Verb,13
素敵,な-Adjective,13
願い,Suffix,13
腹,Noun,13
甘い,い-Adjective,13
体調,Noun,13
世の中,Noun,13
意気,Noun,13
決まり,Noun,13
ひい,Interjection,13
真剣,Noun,13
修学,Noun,13
とも,Particle,13
両親,Noun,13
国,Noun,13
部分,Noun,13
震える,Verb,13
火燵,Noun,13
支え,Noun,13
結ぶ,Verb,13
血,Noun,13
文明,Noun,13
プリント-print,Noun,13
宿題,Noun,13
唇,Noun,13
並み,Suffix,13
参り,Noun,13
エビハラ,Noun,13
部室,Noun,13
シュウ,Noun,13
再び,Adverb,12
客人,Noun,12
社,Noun,12
是非,Adverb,12
軽い,い-Adjective,12
限り,Noun,12
真っ直ぐ,な-Adjective,12
サメガワ,Noun,12
ヤソガミ,Noun,12
しんどい,い-Adjective,12
難易,Noun,12
染め物,Noun,12
麺,Noun,12
異常,Noun,12
