Lemma,POS,P4 Occurrences,P5 Occurrences
状況,Noun,35,83
酷い,い-Adjective,35,62
大人,Noun,35,91
人生,Noun,34,20
分,Noun,34,61
消える,Verb,34,42
少年,Noun,34,19
場合,Noun,34,88
真,Prefix,34,91
狙う,Verb,34,54
役,Noun,34,64
高い,い-Adjective,34,80
捨てる,Verb,34,19
幸せ,Noun,34,32
神,Noun,34,27
掛かる,Verb,33,67
会,Noun,33,64
天気,Noun,33,41
詰まる,Verb,33,29
静か,な-Adjective,33,12
似る,Verb,33,19
慣れる,Verb,33,30
平気,Noun,33,18
妙,Noun,33,37
今回,Noun,33,113
代わり,Noun,33,53
不安,Noun,33,48
勿論,Adverb,33,50
安心,Noun,33,41
空く,Verb,33,41
タツミ,Noun,33,0
病室,Noun,33,1
演劇,Noun,33,1
形,Noun,32,55
おっと,Interjection,32,23
受ける,Verb,32,89
点,Noun,32,26
転校,Noun,32,3
手伝う,Verb,32,55
進む,Verb,32,121
残念,な-Adjective,32,64
繋がる,Verb,32,23
焦る,Verb,32,39
揃う,Verb,32,22
野郎,Noun,32,50
雪,Noun,32,10
リーダー-leader,Noun,32,44
伝わる,Verb,32,19
合コン,Noun,32,0
ナナ,Noun,32,0
バスケ-basketball,Noun,32,0
バイト-Arbeit,Noun,31,50
帰り,Noun,31,13
女性,Noun,31,27
感謝,Noun,31,43
途中,Noun,31,12
新しい,い-Adjective,31,37
降る,Verb,31,28
こら,Interjection,31,7
理由,Noun,31,42
あー,Interjection,31,120
放り込む,Verb,31,0
説明,Noun,31,55
刑事,Noun,31,14
嫌い,Noun,31,33
思い,Noun,31,19
捕まる,Verb,31,31
料理,Noun,31,32
大切,な-Adjective,31,16
クボ,Noun,31,0
サッカー-soccer,Noun,31,1
ほっと,Adverb,31,5
花,Noun,30,10
行成,Adverb,30,42
行う,Verb,30,76
ははは,Interjection,30,25
臭い,Suffix,30,42
掴む,Verb,30,43
一体,Adverb,30,47
任せる,Verb,30,118
迚も,Adverb,30,23
旅行,Noun,30,30
色んな,Adnominal,30,23
生まれる,Verb,30,21
変える,Verb,30,98
喜ぶ,Verb,30,37
此の間,Noun,30,11
間違える,Verb,30,9
クジ,Noun,30,2
答え,Noun,30,31
存在,Noun,30,35
向かう,Verb,29,71
毎日,Noun,29,16
漸と,Adverb,29,28
痛い,い-Adjective,29,48
怪しい,い-Adjective,29,52
始まる,Verb,29,36
切る,Verb,29,64
期待,Noun,29,117
死体,Noun,29,2
逆,Noun,29,45
少ない,い-Adjective,29,47
高,Prefix,29,21
遣る気,Noun,29,24
或る,Adnominal,29,28
集まる,Verb,29,100
真面目,な-Adjective,29,29
以外,Noun,29,68
不思議,Noun,29,11
母親,Noun,29,26
とる,Auxiliary Verb,29,11
必死,な-Adjective,29,17
急ぐ,Verb,29,67
大きな,Adnominal,28,30
朝,Noun,28,33
女将,Noun,28,0
折角,Adverb,28,61
忙しい,い-Adjective,28,67
そう-伝聞,Noun,28,56
やばい,い-Adjective,28,79
小さい,い-Adjective,28,14
大,Prefix,28,84
住む,Verb,28,8
超,Prefix,28,29
望む,Verb,28,38
詰まり,Adverb,28,39
いえ,Interjection,28,16
意識,Noun,28,35
コミュ-community,Noun,28,0
味,Noun,28,19
弁当,Noun,28,1
休み,Noun,28,41
アイドル-idol,Noun,28,19
負ける,Verb,28,92
結果,Noun,27,97
照れる,Verb,27,4
助かる,Verb,27,79
謝る,Verb,27,33
当然,な-Adjective,27,53
遊び,Noun,27,18
第,Prefix,27,28
危ない,い-Adjective,27,49
無,Prefix,27,80
動機,Noun,27,10
ゲーム-game,Noun,27,137
誘拐,Noun,27,1
男の子,Noun,27,3
神社,Noun,27,4
いらっしゃる,Verb,26,23
奥,Noun,26,69
相,Prefix,26,30
春,Noun,26,70
邪魔,Noun,26,66
九,Noun,26,10
盛り上がる,Verb,26,12
売り場,Noun,26,0
遂に,Adverb,26,35
張る,Verb,26,28
質問,Noun,26,71
戦う,Verb,26,76
向き合う,Verb,26,6
どうせ,Adverb,26,59
番,Noun,26,12
台詞,Noun,26,28
全員,Noun,26,52
推理,Noun,26,5
奇麗,な-Adjective,26,32
適当,Noun,26,18
干支,Noun,26,3
食材,Noun,26,7
理解,Noun,26,57
別れる,Verb,26,8
祭,Suffix,26,23
沢山,Adverb,26,25
ケーキ-cake,Noun,26,2
愛する,Verb,26,10
特訓,Noun,26,25
近く,Noun,25,47
詳しい,い-Adjective,25,41
大きい,い-Adjective,25,43
ぃ,Auxiliary Symbol,25,67
午後,Noun,25,8
冗談,Noun,25,26
騒ぐ,Verb,25,24
余計,な-Adjective,25,22
寒い,い-Adjective,25,13
協力,Noun,25,76
眼鏡,Noun,25,5
危険,Noun,25,55
人物,Noun,25,20
無し,Noun,25,74
首,Noun,25,17
田舎,Noun,25,0
新た,な-Adjective,25,41
御腹,Noun,25,11
座る,Verb,25,46
苦手,Noun,25,19
来週,Noun,25,5
因み,Noun,25,25
相談,Noun,25,89
王,Noun,25,18
深い,い-Adjective,24,39
一応,Noun,24,28
実際,Noun,24,22
きり,Particle,24,9
む,Auxiliary Verb,24,30
今更,Adverb,24,17
周り,Noun,24,59
誘う,Verb,24,75
用,Noun,24,121
知り合い,Noun,24,15
気分,Noun,24,75
やあ,Interjection,24,8
調べる,Verb,24,167
半分,Noun,24,26
不味い,い-Adjective,24,65
内容,Noun,24,162
連続,Noun,24,9
離れる,Verb,24,21
笑顔,Noun,24,5
関わる,Verb,24,21
運動,Noun,24,8
円-助数詞,Noun,24,49
失敗,Noun,24,30
遠い,い-Adjective,24,20
回る,Verb,24,29
悔しい,い-Adjective,24,11
断る,Verb,24,53
減る,Verb,24,29
カワ,Code,24,2
残す,Verb,24,18
開く,Verb,24,113
状,Suffix,24,197
結婚,Noun,24,14
致す,Verb,23,33
頂く,Verb,23,145
男子,Noun,23,12
室,Suffix,23,102
犯行,Noun,23,13
大体,Noun,23,16
当たる,Verb,23,74
足,Noun,23,26
確かめる,Verb,23,20
身,Noun,23,70
回復,Noun,23,39
久々,Noun,23,10
終える,Verb,23,6
山,Noun,23,12
自宅,Noun,23,10
文字,Noun,23,28
見詰める,Verb,22,0
系,Suffix,22,27
道,Noun,22,98
携帯,Noun,22,17
焼け,Noun,22,9
失礼,Noun,22,37
放る,Verb,22,31
取れる,Verb,22,28
彼氏,Noun,22,14
働く,Verb,22,34
偶然,Noun,22,9
頼り,Noun,22,21
勇気,Noun,22,19
驚く,Verb,22,27
本人,Noun,22,25
タイプ-type,Noun,22,48
倒れる,Verb,22,14
似合う,Verb,22,4
頼る,Verb,22,19
難しい,い-Adjective,22,43
攫う,Verb,22,0
偶に,Adverb,22,31
若い,い-Adjective,22,142
服,Noun,22,21
中間,Noun,22,9
愛,Noun,22,22
カシワギ,Noun,22,0
火,Noun,22,12
微笑む,Verb,22,1
名,Noun,21,38
解く,Verb,21,16
紹介,Noun,21,67
御袋,Noun,21,6
出掛ける,Verb,21,64
モロオカ,Noun,21,0
メイ,Code,21,1
き,Auxiliary Verb,21,20
態々,Adverb,21,8
手伝い,Noun,21,44
久しい,い-Adjective,21,10
辺り,Noun,21,33
肩,Noun,21,10
いー,Interjection,21,38
易い,Suffix,21,57
